id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
226584559,"09/28/2014 Frankenmuth, Michigan",152942.0,5:32:37,Ride,7.664,2014-09-28 11:40:05+00:00,110.1,,136.9,9:44:34,,,,,,Ride
226584564,"10/01/2014 Midland, Michigan",43549.6,1:38:28,Ride,7.371,2014-10-01 19:08:40+00:00,23.7,,120.9,1:43:55,,,,,,Ride
226584570,"10/03/2014 Midland, Michigan",37807.1,1:51:14,Ride,5.665,2014-10-03 20:21:29+00:00,0.0,,123.5,3:32:44,,,,,,Ride
226584572,"10/07/2014 Midland, Michigan",66077.1,2:20:22,Ride,7.846,2014-10-07 21:33:00+00:00,24.5,,140.8,2:23:02,,,,,,Ride
226584571,"10/10/2014 Midland, Michigan",82446.3,3:00:23,Ride,7.618,2014-10-10 18:45:43+00:00,35.1,,139.1,3:34:07,,,,,,Ride
226584560,"10/23/2014 Midland, Michigan",43225.0,1:30:11,Ride,7.988,2014-10-23 21:43:38+00:00,23.5,,157.5,1:33:29,,,,,,Ride
226584563,"10/25/2014 Midland, Michigan",69446.1,2:32:52,Ride,7.572,2014-10-25 16:10:23+00:00,23.5,,158.8,2:39:54,,,,,,Ride
226584567,"10/26/2014 Midland, Michigan",90143.1,3:20:45,Ride,7.484,2014-10-26 14:19:13+00:00,63.9,,146.7,3:40:54,,,,,,Ride
226584549,10/26/2014,0.0,0:00:03,Ride,0.0,2014-10-26 19:33:47+00:00,0.0,,79.0,0:00:03,,,,,,Ride
226583255,"11/01/2014 Midland, Michigan",82515.5,3:01:57,Ride,7.558,2014-11-01 18:45:37+00:00,33.8,,148.3,3:03:12,,,,,,Ride
226583252,"11/02/2014 Midland, Michigan",32284.7,1:03:44,Ride,8.443,2014-11-02 22:03:43+00:00,11.5,,150.5,1:04:16,,,,,,Ride
226583253,"11/09/2014 Midland, Michigan",73347.6,2:52:46,Ride,7.076,2014-11-09 15:27:39+00:00,34.0,,135.9,2:56:34,,,,,,Ride
227255937,"12/06/2014 Midland, Michigan",68283.0,2:34:08,Ride,7.384,2014-12-06 15:32:37+00:00,35.0,b1683032,140.5,"1 day, 5:18:38",2157.9,,,233.3,,Ride
229470201,"12/14/2014 Midland, Michigan",26092.9,1:01:27,Ride,7.077,2014-12-14 16:00:19+00:00,29.4,b1683032,140.3,4:57:55,810.8,,,219.9,,Ride
229470973,Adding missing data,16093.4,0:25:00,Ride,10.729,2014-12-14 18:00:00+00:00,0.0,b1683032,,0:25:00,,,,,,Ride
231248246,"12/20/2014 Midland, Michigan",54847.0,2:00:30,Ride,7.586,2014-12-20 20:07:45+00:00,23.7,b1683032,143.8,2:03:20,1768.1,,,244.6,,Ride
233174976,"12/26/2014 Midland, Michigan",66953.7,2:27:43,Ride,7.554,2014-12-26 16:32:26+00:00,22.7,b1683032,148.7,2:29:27,2153.3,,,243.0,,Ride
248846629,Hilly West Monroe,50749.9,1:55:26,Ride,7.327,2015-01-31 16:05:16+00:00,81.0,b1683032,154.8,2:06:41,1775.7,,,256.4,,Ride
248736255,"01/31/2015 Monroe, Louisiana",15272.7,0:32:12,Ride,7.905,2015-01-31 21:51:52+00:00,0.0,b1683032,166.7,0:46:35,515.1,,,266.6,,Ride
250149743,"02/03/2015 Monroe, Louisiana",23639.0,0:46:50,Ride,8.412,2015-02-03 23:22:10+00:00,0.0,b1683032,160.2,0:47:59,850.9,,,302.8,,Ride
270968079,"03/19/2015 Midland, Michigan",43436.9,1:34:03,Ride,7.697,2015-03-19 22:23:30+00:00,23.8,b1683032,141.1,1:35:25,1418.8,,,251.4,,Ride
271455785,Afternoon Ride,44594.9,1:41:49,Ride,7.3,2015-03-20 21:00:00+00:00,0.0,b1683032,,1:41:49,,,,,,Ride
272622252,Afternoon walk,2392.9,0:32:21,Walk,1.233,2015-03-22 21:48:41+00:00,0.0,,,0:32:46,,,,,,Walk
272849708,Morning Ride,6091.6,0:13:51,Ride,7.33,2015-03-23 12:57:23+00:00,10.8,b1683032,,0:17:15,207.9,,,250.2,,Ride
273080455,Afternoon Ride,5744.5,0:12:35,Ride,7.609,2015-03-23 21:08:22+00:00,10.8,b1683032,,0:13:33,196.9,,,260.8,,Ride
273634382,"03/24/2015 Midland, Michigan",43585.0,1:35:03,Ride,7.642,2015-03-24 21:58:05+00:00,21.7,b1683032,137.2,1:35:03,1433.3,,,251.3,,Ride
275899975,Midland to Sanford,53623.3,1:59:35,Ride,7.474,2015-03-29 13:50:00+00:00,0.0,b1683032,,1:59:35,,,,,,Ride
277713403,"04/01/2015 Midland, Michigan",62239.2,2:13:28,Ride,7.772,2015-04-01 21:57:38+00:00,23.1,b1683032,149.7,2:14:59,2045.2,,,255.4,,Ride
279257856,"04/04/2015 Midland, Michigan",77919.7,2:53:47,Ride,7.473,2015-04-04 15:58:34+00:00,34.5,b1683032,147.6,3:07:59,2488.1,,,238.6,,Ride
283366046,"04/11/2015 Midland, Michigan",60584.2,2:14:20,Ride,7.517,2015-04-11 14:15:25+00:00,37.6,b1683032,153.0,2:46:16,1992.2,,,247.2,,Ride
284164960,"04/12/2015 Midland, Michigan",103312.0,4:01:32,Ride,7.129,2015-04-12 13:50:04+00:00,62.0,b1683032,150.1,4:07:30,3158.5,,,217.9,,Ride
287361038,Da Ford Loop,43131.8,1:28:42,Ride,8.104,2015-04-17 20:42:21+00:00,23.9,b1683032,153.2,1:30:14,1458.6,,,274.1,,Ride
288616917,Exploration ride.  Easy 40,65183.4,2:27:54,Ride,7.345,2015-04-19 13:54:49+00:00,23.7,b1683032,140.7,2:34:40,2095.7,,,236.2,,Ride
291923739,"04/24/2015 Midland, Michigan",52743.2,1:50:22,Ride,7.965,2015-04-24 21:54:21+00:00,24.3,b1683032,158.6,1:51:25,1737.0,,,262.3,,Ride
292456776,"04/25/2015 Midland, Michigan",39038.2,1:16:51,Ride,8.466,2015-04-25 17:26:17+00:00,10.5,b1683032,153.8,2:41:27,1336.1,,,289.8,,Ride
292459215,Afternoon Ride,32186.9,1:15:00,Ride,7.153,2015-04-25 19:20:00+00:00,0.0,b1683032,,1:15:00,,,,,,Ride
